rank,prev_rank,rider,team,points,manager
1,1,POGAČAR Tadej,UAE Team Emirates - XRG,3715,Joe
2,6,EVENEPOEL Remco,Red Bull - BORA - hansgrohe,2371,Andy
3,2,DEL TORO Isaac,UAE Team Emirates - XRG,2190,Dave
4,20,PHILIPSEN Jasper,Alpecin - Premier Tech,1927,Tim
5,3,VINGEGAARD Jonas,Team Visma | Lease a Bike,1871,Nick
6,99,SEIXAS Paul,Decathlon CMA CGM Team,1857,Mike
7,7,PIDCOCK Thomas,Pinarello Q36.5 Pro Cycling Team,1376,Cameron
8,65,SCHMID Mauro,Team Jayco AlUla,1333,
9,58,JOHANNESSEN Tobias Halland,Uno-X Mobility,1327,
10,31,MARTINEZ Lenny,Bahrain - Victorious,1327,Dave
11,18,VAN AERT Wout,Team Visma | Lease a Bike,1323,Campbell
12,8,VAN DER POEL Mathieu,Alpecin - Premier Tech,1230,Mike
13,50,CARAPAZ Richard,EF Education - EasyPost,1229,Mike
14,14,SCARONI Christian,XDS Astana Team,1175,Campbell
15,27,GALL Felix,Decathlon CMA CGM Team,1157,Dave
16,23,LIPOWITZ Florian,Red Bull - BORA - hansgrohe,1154,Campbell
17,29,SKJELMOSE Mattias,Lidl - Trek,1136,Mike
18,11,MAGNIER Paul,Soudal Quick-Step,1091,Mike
19,40,ANDRESEN Tobias Lund,Decathlon CMA CGM Team,1069,
20,62,PELLIZZARI Giulio,Red Bull - BORA - hansgrohe,1040,Campbell
21,276,PITHIE Laurence,Red Bull - BORA - hansgrohe,1008,
22,5,PEDERSEN Mads,Lidl - Trek,969,Tim
23,55,ARANBURU Alex,Cofidis,967,
24,28,GRÉGOIRE Romain,Groupama - FDJ United,908,Andy
25,234,COSNEFROY Benoît,UAE Team Emirates - XRG,888,
26,12,AYUSO Juan,Lidl - Trek,855,Nick
27,103,SILVA Guillermo Thomas,XDS Astana Team,852,
28,17,MERLIER Tim,Soudal Quick-Step,836,Tim
29,24,KOOIJ Olav,Decathlon CMA CGM Team,800,Tim
30,30,BRENNAN Matthew,Team Visma | Lease a Bike,792,Andy
31,26,JORGENSON Matteo,Team Visma | Lease a Bike,776,Cameron
32,49,CHRISTEN Jan,UAE Team Emirates - XRG,770,Tim
33,19,MILAN Jonathan,Lidl - Trek,769,Campbell
34,224,IZAGIRRE Ion,Cofidis,769,
35,34,ARENSMAN Thymen,Netcompany INEOS,759,Cameron
36,42,MEEUS Jordi,Red Bull - BORA - hansgrohe,736,
37,101,GROENEWEGEN Dylan,Unibet Rose Rockets,718,
38,177,BERCKMOES Jenno,Lotto Intermarché,715,
39,159,STUYVEN Jasper,Soudal Quick-Step,704,
40,41,GIRMAY Biniam,NSN Cycling Team,686,Dave
41,240,LAPORTE Christophe,Team Visma | Lease a Bike,682,
42,13,CICCONE Giulio,Lidl - Trek,679,Dave
43,83,PIGANZOLI Davide,Team Visma | Lease a Bike,676,
44,61,HINDLEY Jai,Red Bull - BORA - hansgrohe,674,Tim
45,229,TESFATSION Natnael,Movistar Team,670,
46,35,GANNA Filippo,Netcompany INEOS,653,Cameron
47,44,WÆRENSKJOLD Søren,Uno-X Mobility,652,
48,328,BRENNER Marco,Tudor Pro Cycling Team,649,
49,138,RONDEL Mathys,Tudor Pro Cycling Team,640,
50,46,BERNAL Egan,Netcompany INEOS,634,
51,87,RICCITELLO Matthew,Decathlon CMA CGM Team,634,
52,66,GODON Dorian,Netcompany INEOS,620,
